Price,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,BB_Width
Ticker,BTC-USD,BTC-USD,,,,,,,
Date,,,,,,,,,
2024-07-01,62851.98046875,25468379421,63620.806690192025,65025.767887636976,58197.123621132996,36.67894449747325,-1521.892647580018,-1434.3902257302982,0.15193301383774294
2024-07-02,62029.015625,20151616992,63469.20754112611,64908.24819106297,58235.251902513985,38.15001024932487,-1457.6308798891114,-1439.038356562061,0.1404114394745042
2024-07-03,60173.921875,29756701685,63155.37081101886,64722.58833553109,58254.54215236666,33.83453309923782,-1538.6568495912215,-1458.9620551678931,0.14075752096562638
2024-07-04,56977.703125,41149609230,62567.02150758849,64418.86734688281,58241.83728552924,28.031793195142228,-1839.5732007869883,-1535.0842842917123,0.1613767336724236
2024-07-05,56662.375,55417544033,62004.674221151494,64114.69117641682,58226.12124179292,28.701803833019255,-2079.5244579826904,-1643.972319029908,0.17655286955978103
2024-07-06,58303.5390625,20610320577,61652.18515842278,63886.802858224,58226.89156842022,34.292182076745576,-2112.903102275821,-1737.7584756790907,0.17413734963857508
2024-07-07,55849.109375,20553359505,61099.51127428727,63571.59919221522,58203.2320424929,31.958722852227993,-2310.7707547587415,-1852.360931495021,0.18204099055910666
2024-07-08,56705.09765625,39766159899,60680.99569161706,63302.32462217736,58188.325231672316,40.22451338650752,-2371.177733501674,-1956.124291896352,0.1858966472489532
2024-07-09,58009.2265625,27849512607,60426.541488844014,63094.75214924883,58186.54315524293,39.485636742582464,-2287.4500948842906,-2022.3894524939399,0.18093656783311393
2024-07-10,57742.49609375,26175260526,60170.918117882684,62884.85975491554,58182.12477622898,41.14199454633853,-2217.0613545016167,-2061.3238328954753,0.17418020424654068
2024-07-11,57344.9140625,28707803842,59901.7748745129,62667.60698266394,58173.79432081977,37.41624627777261,-2168.3637700336913,-2082.7318203231184,0.16938569087526648
2024-07-12,57899.46484375,25604805221,59711.078681106905,62480.62101643203,58171.06467410456,42.52695612493615,-2061.262024495765,-2078.4378611576476,0.15826650239062173
2024-07-13,59231.953125,17080061806,59665.44767576339,62353.22227559155,58181.620778772034,45.119982681131305,-1847.5648735102513,-2032.2632636281683,0.14836669713113243
2024-07-14,60787.79296875,22223416061,59772.337703666875,62291.83289100952,58207.55284201398,44.34868490807599,-1534.9708802337336,-1932.8047869492816,0.14921220471665012
2024-07-15,64870.15234375,38094526099,60257.84385986527,62392.943457783666,58273.847368595845,54.89019836343446,-946.9102130771062,-1735.6258721748468,0.16647748718587932
2024-07-16,65097.1484375,41617346768,60718.7300101162,62498.99071189018,58341.740915804716,57.65544279309889,-457.2799710674735,-1479.9566919533722,0.18465274596665962
2024-07-17,64118.79296875,32525071311,61042.545529986084,62562.51236902194,58399.224024358846,60.29338827559931,-146.50081633266382,-1213.2655168292306,0.19361806026857606
2024-07-18,63974.06640625,27239305337,61321.73799439217,62617.86742930539,58454.695096226744,71.71344879933255,87.11151149469515,-953.1901111644454,0.20220307174326568
